VOC,Temperature,Humidity,VQI,label,status
0.024,26.3,66,86.03808383818642,1,Moderate
0.024,26.2,67,86.16413425835451,1,Moderate
0.024,26.3,68,87.46665526675787,2,Fresh
0.024,26.3,68,87.46665526675787,2,Fresh
0.024,26.3,67,86.75236955247215,1,Moderate
0.024,26.3,67,86.75236955247215,1,Moderate
0.024,26.3,67,86.75236955247215,1,Moderate
0.024,26.3,67,86.75236955247215,1,Moderate
0.024,26.3,67,86.75236955247215,1,Moderate
0.024,26.3,67,86.75236955247215,1,Moderate
0.024,26.3,67,86.75236955247215,1,Moderate
0.024,26.3,67,86.75236955247215,1,Moderate
0.024,26.3,67,86.75236955247215,1,Moderate
0.024,26.3,67,86.75236955247215,1,Moderate
0.0226,26.4,68,88.3940378476972,2,Fresh
0.024,26.4,69,88.76917627516121,2,Fresh
0.024,26.4,69,88.76917627516121,2,Fresh
0.024,26.4,68,88.0548905608755,2,Fresh
0.024,26.4,68,88.0548905608755,2,Fresh
0.024,26.4,68,88.0548905608755,2,Fresh
0.024,26.4,67,87.3406048465898,2,Fresh
0.024,26.4,67,87.3406048465898,2,Fresh
